FECHA_ACCIDENTE,Atropello,Caida Ocupante,Choque,Incendio,Otro,Volcamiento
2016-07-23,14,10,94,0,14,3
2016-07-24,7,6,42,0,13,1
2016-07-25,7,18,86,0,17,7
2016-07-26,8,10,98,0,13,4
2016-07-27,17,12,110,0,23,10
2016-07-28,19,14,94,0,12,4
2016-07-29,7,12,113,0,16,1
2016-07-30,16,10,82,0,16,2
2016-07-31,10,10,59,0,8,3
2016-08-01,13,25,89,0,19,4
2016-08-02,12,18,104,0,19,4
2016-08-03,13,10,102,0,19,4
2016-08-04,12,19,92,0,33,8
2016-08-05,13,17,109,0,19,4
2016-08-06,19,16,95,0,12,6
2016-08-07,7,7,65,0,14,2
2016-08-08,9,18,80,0,19,5
2016-08-09,10,11,112,0,10,3
2016-08-10,15,10,89,0,18,6
2016-08-11,9,18,103,0,17,0
2016-08-12,13,7,93,0,14,10
2016-08-13,10,12,102,0,11,8
2016-08-14,12,3,48,0,5,0
2016-08-15,5,6,34,0,9,3
2016-08-16,10,9,101,0,20,9
2016-08-17,9,12,92,0,20,6
2016-08-18,11,22,96,0,19,13
2016-08-19,11,9,106,0,23,3
2016-08-20,8,10,82,0,26,5
2016-08-21,10,11,55,0,9,3
2016-08-22,17,14,99,0,12,3
2016-08-23,15,9,103,0,11,5
2016-08-24,13,14,83,0,16,4
2016-08-25,18,13,106,0,16,9
2016-08-26,9,10,110,0,11,9
2016-08-27,13,5,76,0,13,2
2016-08-28,10,5,47,0,15,2
2016-08-29,10,28,88,0,11,2
2016-08-30,10,12,67,0,17,4
2016-08-31,7,11,64,0,10,2
2016-09-01,15,10,82,0,19,2
2016-09-02,20,14,100,0,22,5
2016-09-03,18,22,86,0,15,3
2016-09-04,11,8,47,0,11,0
2016-09-05,11,10,99,0,9,3
2016-09-06,13,7,99,0,18,2
2016-09-07,11,10,86,0,18,1
2016-09-08,10,10,113,0,11,5
2016-09-09,8,8,80,0,16,4
2016-09-10,16,10,98,0,15,2
2016-09-11,8,12,50,0,2,4
2016-09-12,12,19,98,0,17,7
2016-09-13,14,9,81,0,16,4
2016-09-14,10,13,88,0,12,6
2016-09-15,12,13,104,1,16,11
2016-09-16,18,13,110,0,17,3
2016-09-17,17,7,106,0,10,1
2016-09-18,10,6,48,0,11,2
2016-09-19,10,12,82,0,12,5
2016-09-20,15,7,105,0,9,3
2016-09-21,22,19,80,0,14,9
2016-09-22,9,22,97,0,11,5
2016-09-23,18,16,99,0,25,1
2016-09-24,13,14,90,0,13,4
2016-09-25,7,7,60,0,7,3
2016-09-26,14,16,90,0,16,2
2016-09-27,5,16,91,0,15,6
2016-09-28,16,27,75,0,19,6
2016-09-29,12,11,78,0,18,7
2016-09-30,13,5,79,0,14,7
2016-10-01,15,11,83,0,6,3
2016-10-02,14,14,64,0,7,2
2016-10-03,21,11,105,0,12,1
2016-10-04,7,20,100,0,10,3
2016-10-05,11,6,98,0,14,4
2016-10-06,13,12,109,0,22,1
2016-10-07,13,21,125,0,20,8
2016-10-08,12,8,100,0,12,3
2016-10-09,16,10,57,0,14,6
2016-10-10,10,18,97,0,14,5
2016-10-11,8,15,84,0,25,7
2016-10-12,19,9,102,0,14,5
2016-10-13,13,9,81,0,14,0
2016-10-14,16,15,105,0,9,3
2016-10-15,7,7,86,0,22,2
2016-10-16,7,6,56,0,9,2
2016-10-17,8,6,48,0,13,6
2016-10-18,8,13,105,0,22,13
2016-10-19,16,9,90,0,11,3
2016-10-20,16,10,86,1,15,3
2016-10-21,11,8,118,0,11,7
2016-10-22,17,10,73,0,12,4
2016-10-23,18,8,48,0,14,8
2016-10-24,17,10,96,0,10,5
2016-10-25,9,18,93,0,17,4
2016-10-26,5,7,80,0,18,5
2016-10-27,10,16,103,0,18,11
2016-10-28,14,14,118,0,13,3
2016-10-29,16,17,85,0,18,2
2016-10-30,10,8,45,0,16,6
2016-10-31,7,12,96,0,17,2
2016-11-01,5,18,100,0,14,5
2016-11-02,11,14,97,0,13,5
2016-11-03,12,21,101,0,10,7
2016-11-04,7,13,97,0,25,6
2016-11-05,11,8,94,0,6,6
2016-11-06,11,9,50,0,11,3
2016-11-07,8,9,36,0,12,7
2016-11-08,12,16,91,0,6,4
2016-11-09,13,9,89,0,8,3
2016-11-10,13,17,69,0,16,11
2016-11-11,14,8,83,0,27,6
2016-11-12,9,6,89,0,16,11
2016-11-13,14,9,53,0,7,2
2016-11-14,6,10,36,0,9,5
2016-11-15,19,9,103,0,21,5
2016-11-16,6,15,75,0,21,5
2016-11-17,15,14,94,0,20,2
2016-11-18,14,14,102,0,18,4
2016-11-19,9,6,99,0,15,2
2016-11-20,9,7,42,0,12,1
2016-11-21,17,19,117,0,14,8
2016-11-22,12,9,84,0,9,3
2016-11-23,12,13,107,0,11,4
2016-11-24,6,11,92,0,14,0
2016-11-25,11,27,100,0,11,8
2016-11-26,15,10,85,0,8,4
2016-11-27,11,6,58,0,9,1
2016-11-28,12,14,88,0,11,1
2016-11-29,8,13,78,0,9,4
2016-11-30,12,7,102,0,8,8
2016-12-01,13,5,61,0,11,3
2016-12-02,10,8,96,0,14,6
2016-12-03,13,8,77,0,7,5
2016-12-04,10,5,53,0,12,5
2016-12-05,6,16,107,0,15,3
2016-12-06,12,12,89,0,9,5
2016-12-07,8,10,102,0,7,3
2016-12-08,8,5,40,0,14,2
2016-12-09,8,6,90,0,12,2
2016-12-10,15,5,77,0,25,1
2016-12-11,9,6,60,0,7,2
2016-12-12,10,5,103,0,7,0
2016-12-13,7,6,97,0,8,1
2016-12-14,9,12,82,0,13,2
2016-12-15,16,8,103,0,6,2
2016-12-16,18,11,112,0,19,7
2016-12-17,15,14,98,0,16,1
2016-12-18,10,7,67,0,9,1
2016-12-19,19,8,86,0,13,8
2016-12-20,9,13,111,0,15,5
2016-12-21,8,22,105,0,29,7
2016-12-22,9,7,94,0,10,4
2016-12-23,17,8,95,0,13,4
2016-12-24,22,6,59,0,11,1
