FECHA,AÑO,DÍA_SEMANA,MES,SEMANA,DÍA_FESTIVO,DÍA_DE_MADRES,DICIEMBRE_24,DICIEMBRE_31,PREDICCIÓN_CHOQUES_DIARIOS
2021-01-16,2021,6,1,2,0,0,0,0,69.34102380952382
2021-01-17,2021,7,1,2,0,0,0,0,40.91958730158729
2021-01-18,2021,1,1,3,0,0,0,0,91.03185714285713
2021-01-19,2021,2,1,3,0,0,0,0,92.26182539682539
2021-01-20,2021,3,1,3,0,0,0,0,83.63495634920635
2021-01-21,2021,4,1,3,0,0,0,0,79.81988095238094
2021-01-22,2021,5,1,3,0,0,0,0,90.96647619047619
2021-01-23,2021,6,1,3,0,0,0,0,70.11430663780664
2021-01-24,2021,7,1,3,0,0,0,0,44.18667857142857
2021-01-25,2021,1,1,4,0,0,0,0,84.62780952380953
2021-01-26,2021,2,1,4,0,0,0,0,92.38784523809525
2021-01-27,2021,3,1,4,0,0,0,0,82.47495634920637
2021-01-28,2021,4,1,4,0,0,0,0,86.66307251082254
2021-01-29,2021,5,1,4,0,0,0,0,95.20786507936505
2021-01-30,2021,6,1,4,0,0,0,0,75.78332936507934
2021-01-31,2021,7,1,4,0,0,0,0,38.89101226551226
2021-02-01,2021,1,2,5,0,0,0,0,79.21347619047619
2021-02-02,2021,2,2,5,0,0,0,0,95.63342063492063
2021-02-03,2021,3,2,5,0,0,0,0,89.65404761904762
2021-02-04,2021,4,2,5,0,0,0,0,88.87191666666669
2021-02-05,2021,5,2,5,0,0,0,0,102.57575396825396
2021-02-06,2021,6,2,5,0,0,0,0,83.6084523809524
2021-02-07,2021,7,2,5,0,0,0,0,51.828408730158706
2021-02-08,2021,1,2,6,0,0,0,0,85.37223051948051
2021-02-09,2021,2,2,6,0,0,0,0,94.6157904040404
2021-02-10,2021,3,2,6,0,0,0,0,90.57813095238093
2021-02-11,2021,4,2,6,0,0,0,0,85.0795634920635
2021-02-12,2021,5,2,6,0,0,0,0,100.97355555555554
2021-02-13,2021,6,2,6,0,0,0,0,80.05999206349207
2021-02-14,2021,7,2,6,0,0,0,0,45.05543253968254
2021-02-15,2021,1,2,7,0,0,0,0,84.24488095238097
2021-02-16,2021,2,2,7,0,0,0,0,102.91189285714285
2021-02-17,2021,3,2,7,0,0,0,0,97.91479761904762
2021-02-18,2021,4,2,7,0,0,0,0,96.92637301587301
2021-02-19,2021,5,2,7,0,0,0,0,105.62961904761906
2021-02-20,2021,6,2,7,0,0,0,0,89.90221428571431
2021-02-21,2021,7,2,7,0,0,0,0,47.373960317460316
2021-02-22,2021,1,2,8,0,0,0,0,103.30370238095236
2021-02-23,2021,2,2,8,0,0,0,0,98.44280952380952
2021-02-24,2021,3,2,8,0,0,0,0,92.3412142857143
2021-02-25,2021,4,2,8,0,0,0,0,90.51532683982686
2021-02-26,2021,5,2,8,0,0,0,0,100.84084523809523
